[0.003, 1e-06, 'ResNet50', '4999', '0.5464497286330503', '0.5268449962512666'],
[0.003, 1e-06, 'ResNet50', '3999', '0.6212877768655841', '0.5780899181265922'],
[0.003, 1e-06, 'ResNet50', '2999', '0.4824337348809049', '0.5375392034302157'],
[0.003, 1e-06, 'ResNet50', '1999', '0.3250347459637395', '0.4502723196673508'],
[0.007, 1e-06, 'ResNet50', '999', '0.07599985541475346', '0.16431812370951307'],
[0.007, 1e-06, 'ResNet50', '14999', '0.7341662760181269', '0.6165413836368241'],
[0.007, 1e-06, 'ResNet50', '13999', '0.762723694120133', '0.6167336785019211'],
[0.007, 1e-06, 'ResNet50', '12999', '0.6003237261087528', '0.6276939865333655'],
[0.007, 1e-06, 'ResNet50', '11999', '0.8175129895533486', '0.6414603126736325'],
[0.007, 1e-06, 'ResNet50', '10999', '0.8060875674465555', '0.676246024645031'],
[0.007, 1e-06, 'ResNet50', '9999', '0.7145448919404681', '0.6115848732497746'],
[0.007, 1e-06, 'ResNet50', '8999', '0.7292874991473624', '0.6623248740926723'],
[0.007, 1e-06, 'ResNet50', '7999', '0.7406366016300184', '0.5960540515268787'],
[0.007, 1e-06, 'ResNet50', '6999', '0.7501833090362916', '0.6109516622641025'],
[0.007, 1e-06, 'ResNet50', '5999', '0.6845585920770269', '0.6142093690846592'],
[0.007, 1e-06, 'ResNet50', '4999', '0.5658091508652012', '0.6536608637637422'],
[0.007, 1e-06, 'ResNet50', '3999', '0.7060935007878795', '0.6102342910291008'],
[0.007, 1e-06, 'ResNet50', '2999', '0.5210438032819977', '0.47997186521338675'],
[0.007, 1e-06, 'ResNet50', '1999', '0.15616619839717974', '0.4813477944464591'],
[0.009, 1e-06, 'ResNet50', '999', '0.079563912712218', '0.17501831460282274'],
[0.009, 1e-06, 'ResNet50', '14999', '0.7037798728111598', '0.5915862664472487'],
[0.009, 1e-06, 'ResNet50', '13999', '0.6556709526568658', '0.5638375038962831'],
[0.009, 1e-06, 'ResNet50', '12999', '0.6659931831332778', '0.6228177333357381'],
[0.009, 1e-06, 'ResNet50', '11999', '0.7417524634776893', '0.5846481724035378'],
[0.009, 1e-06, 'ResNet50', '10999', '0.7232078670938322', '0.612875939953602'],
[0.009, 1e-06, 'ResNet50', '9999', '0.6992997578199912', '0.6628863487179146'],
[0.009, 1e-06, 'ResNet50', '8999', '0.6981106349396029', '0.6041449092490245'],
[0.009, 1e-06, 'ResNet50', '7999', '0.7449184955715641', '0.5908846708966042'],
[0.009, 1e-06, 'ResNet50', '6999', '0.6370054257382274', '0.5834958508902853'],
[0.009, 1e-06, 'ResNet50', '5999', '0.7353938872192481', '0.5893850138629715'],
[0.009, 1e-06, 'ResNet50', '4999', '0.7246818990689924', '0.621393189889436'],
[0.009, 1e-06, 'ResNet50', '3999', '0.6691204583484702', '0.600581967333632'],
[0.009, 1e-06, 'ResNet50', '2999', '0.4822327348735482', '0.5318957999872872'],
[0.009, 1e-06, 'ResNet50', '1999', '0.0783886725563395', '0.19741217126768099'],
[0.01, 3e-06, 'ResNet50', '999', '0.04235314603115643', '0.18863560948612174'],
[0.01, 3e-06, 'ResNet50', '14999', '0.7541144175137866', '0.6392194239427004'],
[0.01, 3e-06, 'ResNet50', '13999', '0.7728207097351248', '0.6632981495705362'],
[0.01, 3e-06, 'ResNet50', '12999', '0.7425781193547915', '0.6466973169032874'],
[0.01, 3e-06, 'ResNet50', '11999', '0.7662109980202281', '0.6306368437646619'],
[0.01, 3e-06, 'ResNet50', '10999', '0.7239993938878666', '0.6461170331519442'],
