[0, '0.7072093006390572', '0.6163612228305644', '16:47:53.844731', '17:07:21.985341'],
[1, '0.7646598694133466', '0.5981327489035037', '17:07:40.869565', '17:27:22.325895'],
[2, '0.8265722406611751', '0.6344424297160354', '17:27:40.049230', '17:47:16.398411'],
[3, '0.7037859939828752', '0.628446414615291', '17:47:33.595058', '18:07:16.538074'],
[4, '0.8012360584256493', '0.6575762376216977', '18:07:34.352272', '18:27:17.650856'],
[5, '0.7202240076579481', '0.622696807485039', '18:27:35.519012', '18:47:18.698925'],
[6, '0.6533210837524364', '0.5551399970528144', '18:47:36.446260', '19:07:13.328581'],
[7, '0.7058669460826492', '0.6160256578018133', '19:07:32.732555', '19:27:06.550609'],
[8, '0.7871746378149664', '0.6154053372747226', '19:27:25.696653', '19:47:02.325945'],
[9, '0.7106049097494744', '0.6362431830439147', '19:47:20.123179', '20:06:43.987744'],
[10, '0.7855786552593208', '0.6614530130838566', '20:18:01.424869', '20:39:20.016201'],
[11, '0.6579650210109609', '0.6431291955047715', '20:39:38.958874', '20:59:54.441003'],
[12, '0.7531939669017602', '0.6056621263112212', '21:00:15.291257', '21:19:46.152929'],
[13, '0.7039000622784173', '0.6101122883303369', '21:20:03.323177', '21:39:36.068290'],
[14, '0.7452380052884617', '0.6100540455624839', '21:39:54.399301', '21:59:20.302874'],
[15, '0.812343612946316', '0.6590093936649674', '21:59:38.281473', '22:19:03.868252'],
[16, '0.7206826271492711', '0.6581686308571552', '22:19:21.153243', '22:38:50.623494'],
[17, '0.6909777927926949', '0.6397322490248228', '22:39:08.845782', '22:59:22.752857'],
[18, '0.7229180225743427', '0.640149527609654', '22:59:42.683747', '23:20:22.770412'],
[19, '0.7192890860187531', '0.5992687725492166', '23:20:40.152719', '23:40:11.266469'],
