[0.01, 0.001, 'ResNet50', '13999', '0.6149247635307776', '0.5730754789803364']
[0.001, 0.001, 'ResNet50', '4999', '0.5649531540374542', '0.5251744919053617']
[0.01, 0.001, 'ResNet50', '12999', '0.6841031330734185', '0.5477963014673314']
[0.01, 0.001, 'ResNet50', '11999', '0.6712336267314036', '0.5508821393563393']
[0.001, 0.001, 'ResNet50', '3999', '0.3836798510290921', '0.46402304208812695']
[0.01, 0.001, 'ResNet50', '10999', '0.6992255718674024', '0.5715992418413809']
[0.001, 0.001, 'ResNet50', '2999', '0.3926732266507907', '0.42959584348456303']
[0.01, 0.001, 'ResNet50', '9999', '0.6018767180212287', '0.5655518433947838']
[0.001, 0.001, 'ResNet50', '1999', '0.27741080139990143', '0.44269430067958276']
[0.01, 0.001, 'ResNet50', '8999', '0.6530327102883813', '0.5462508960389421']
[0.01, 0.001, 'ResNet50', '7999', '0.5303203901798174', '0.5650864636650218']
[0.01, 0.001, 'ResNet50', '6999', '0.5708255816229093', '0.5868011774861246']
[0.01, 0.001, 'ResNet50', '5999', '0.6267562615765443', '0.5668395766946632']
[0.0001, 0.001, 'ResNet50', '999', '0.00894961931065422', '0.022370823356075677']
[0.01, 0.001, 'ResNet50', '4999', '0.7207430440590031', '0.5693422711347409']
[0.01, 0.001, 'ResNet50', '3999', '0.6250956736123976', '0.5664223230183014']
[0.0001, 0.001, 'ResNet50', '14999', '0.39028872916682483', '0.33970239398637786']
[0.01, 0.001, 'ResNet50', '2999', '0.28025203476160704', '0.4211108239638808']
[0.0001, 0.001, 'ResNet50', '13999', '0.39886065836224943', '0.3614462476188141']
[0.01, 0.001, 'ResNet50', '1999', '0.30510736066569566', '0.3244563111683948']
[0.0001, 0.001, 'ResNet50', '12999', '0.31435522448985037', '0.3622129961292097']
[0.0001, 0.001, 'ResNet50', '11999', '0.3623396999311197', '0.35070692037944806']
[0.0001, 0.001, 'ResNet50', '10999', '0.22486624218525172', '0.2692369463164438']
[0.0001, 0.001, 'ResNet50', '9999', '0.20753238834422758', '0.24613619163412875']
[0.0001, 0.001, 'ResNet50', '8999', '0.20276360312873845', '0.2740299704853789']
[0.0001, 0.001, 'ResNet50', '7999', '0.17958997842084332', '0.21299258548367278']
[0.0001, 0.001, 'ResNet50', '6999', '0.1497176933685327', '0.19879105450829943']
[0.0001, 0.001, 'ResNet50', '5999', '0.08944619875442938', '0.13427875051995017']
[0.0001, 0.001, 'ResNet50', '4999', '0.06294635908486934', '0.12676793620504415']
[0.0001, 0.001, 'ResNet50', '3999', '0.03559698437569933', '0.12291194978051523']
[1e-05, 0.001, 'ResNet50', '999', '0.0001526630770897961', '0.0001687878257422357']
[0.0001, 0.001, 'ResNet50', '2999', '0.011208902520340451', '0.058238698881532824']
[1e-05, 0.001, 'ResNet50', '14999', '0.020146579929835824', '0.11685500115264677']
[0.0001, 0.001, 'ResNet50', '1999', '0.01521448148716853', '0.058464110650213355']
[1e-05, 0.001, 'ResNet50', '13999', '0.017021279998462965', '0.08680210384625']
[1e-05, 0.001, 'ResNet50', '12999', '0.019875057968990036', '0.10669643869481527']
[1e-05, 0.001, 'ResNet50', '11999', '0.01878060893444361', '0.10199898609555572']
[1e-05, 0.001, 'ResNet50', '10999', '0.015603034610370645', '0.07700968270446433']
[1e-05, 0.001, 'ResNet50', '9999', '0.013000770696018604', '0.06856792771452766']
[1e-05, 0.001, 'ResNet50', '8999', '0.012413072458579985', '0.06359355432766237']
[1e-05, 0.001, 'ResNet50', '7999', '0.013453834319137692', '0.07148832967746015']
[1e-05, 0.001, 'ResNet50', '6999', '0.013794929102112639', '0.08431301494489492']
[1e-05, 0.001, 'ResNet50', '5999', '0.011490919985100694', '0.05855324265959292']
[1e-05, 0.001, 'ResNet50', '4999', '0.011090087026395117', '0.03670187905080692']
[1e-05, 0.001, 'ResNet50', '3999', '0.007434063349456355', '0.017431894982072284']
[1e-05, 0.001, 'ResNet50', '2999', '0.0006415666194041628', '0.001247725906705552']
[1e-05, 0.001, 'ResNet50', '1999', '0.00022275503423344352', '0.0003108913028678405']
[0.001, 0.0001, 'ResNet50', '999', '0.002866422801678141', '0.12197922154470586']
[0.001, 0.0001, 'ResNet50', '14999', '0.6437120416610084', '0.5714025228673585']
[0.01, 0.0001, 'ResNet50', '999', '0.2378211556123401', '0.36292872694032896']
[0.001, 0.0001, 'ResNet50', '13999', '0.6359019193630568', '0.5429334220843172']
[0.001, 0.0001, 'ResNet50', '12999', '0.5970998326176936', '0.5565583653486331']
[0.01, 0.0001, 'ResNet50', '14999', '0.7551796292113198', '0.5964784497643617']
[0.01, 0.0001, 'ResNet50', '13999', '0.7554510400484711', '0.61143195431654']
