[0.001, 0.001, 'ResNet50', '3999', '0.379484424600117', '0.541346259905451'],
[0.001, 0.001, 'ResNet50', '2999', '0.4034669879813402', '0.5015507882900492'],
[0.001, 0.001, 'ResNet50', '1999', '0.22594797317544835', '0.44929387829311496'],
[0.01, 0.001, 'ResNet50', '999', '0.19864206781376154', '0.4385644983298425'],
[0.01, 0.001, 'ResNet50', '14999', '0.711958082776955', '0.5893905345601577'],
[0.0001, 0.001, 'ResNet50', '999', '0.004511110564061363', '0.037184827035364305'],
[0.01, 0.001, 'ResNet50', '13999', '0.5342742453561229', '0.5555630321851254'],
[0.01, 0.001, 'ResNet50', '12999', '0.6845078535757112', '0.5704722648647639'],
[0.0001, 0.001, 'ResNet50', '14999', '0.3733886172670086', '0.38643817298300576'],
[0.01, 0.001, 'ResNet50', '11999', '0.6086580567809186', '0.5388104296598741'],
[0.0001, 0.001, 'ResNet50', '13999', '0.3907446228526156', '0.39652675847176244'],
[0.01, 0.001, 'ResNet50', '10999', '0.7028288162984783', '0.6171993699622936'],
[0.0001, 0.001, 'ResNet50', '12999', '0.32159106011257615', '0.4153182584369491'],
[0.01, 0.001, 'ResNet50', '9999', '0.6207813520265153', '0.5626937384880379'],
[0.0001, 0.001, 'ResNet50', '11999', '0.33592337135571243', '0.3635929848932456'],
[0.01, 0.001, 'ResNet50', '8999', '0.6682336047534814', '0.6330375000612832'],
[0.0001, 0.001, 'ResNet50', '10999', '0.33445493570429485', '0.37685130729381344'],
[0.01, 0.001, 'ResNet50', '7999', '0.610316156749799', '0.5269552188858787'],
[0.0001, 0.001, 'ResNet50', '9999', '0.30315467679594843', '0.4170410105942201'],
[0.01, 0.001, 'ResNet50', '6999', '0.7381990113677717', '0.6288241268323297'],
[0.01, 0.001, 'ResNet50', '5999', '0.6980081266382181', '0.6088971803991029'],
[0.0001, 0.001, 'ResNet50', '8999', '0.32841533265425377', '0.3670012609066412'],
[0.01, 0.001, 'ResNet50', '4999', '0.5596064923841688', '0.5257926717455287'],
[0.0001, 0.001, 'ResNet50', '7999', '0.26979042161987227', '0.40471264138848034'],
[0.01, 0.001, 'ResNet50', '3999', '0.5555748570777472', '0.5624913665036461'],
[0.0001, 0.001, 'ResNet50', '6999', '0.25033780478822487', '0.3373569713193268'],
[0.01, 0.001, 'ResNet50', '2999', '0.4671161004552392', '0.5375193129649349'],
[0.0001, 0.001, 'ResNet50', '5999', '0.1395603539267533', '0.28179646664119523'],
[0.01, 0.001, 'ResNet50', '1999', '0.2609323830440805', '0.4810046021343374'],
[0.0001, 0.001, 'ResNet50', '4999', '0.08864436267578964', '0.2589819129900793'],
[0.0001, 0.001, 'ResNet50', '3999', '0.028415087711072724', '0.11905309210350132'],
[0.0001, 0.001, 'ResNet50', '2999', '0.006365124965476765', '0.10443734090800483'],
