[0.003, 1e-06, 'ResNet50', '999', '0.16772091907492698', '0.298827317041931'],
[0.003, 1e-06, 'ResNet50', '14999', '0.7298068671888797', '0.5880712653959785'],
[0.001, 1e-06, 'ResNet50', '999', '0.0155608342351969', '0.09847587949889161'],
[0.003, 1e-06, 'ResNet50', '13999', '0.6526069205598175', '0.591979534868515'],
[0.001, 1e-06, 'ResNet50', '14999', '0.6047988493510629', '0.5562623101720214'],
[0.001, 1e-06, 'ResNet50', '13999', '0.5993928889954306', '0.5809617721155315'],
[0.003, 1e-06, 'ResNet50', '12999', '0.6659770920370944', '0.6039403376744493'],
[0.001, 1e-06, 'ResNet50', '12999', '0.5957858923729834', '0.5549427829225853'],
[0.001, 1e-06, 'ResNet50', '11999', '0.6467693783487632', '0.546540674568097'],
[0.003, 1e-06, 'ResNet50', '11999', '0.7399343716063365', '0.6037608362780963'],
[0.001, 1e-06, 'ResNet50', '10999', '0.6635355072834588', '0.5914471079989067'],
[0.003, 1e-06, 'ResNet50', '10999', '0.6953978048354628', '0.6011270271435283'],
[0.001, 1e-06, 'ResNet50', '9999', '0.6599965904299468', '0.5687165324647283'],
[0.001, 1e-06, 'ResNet50', '8999', '0.5691148737480594', '0.5479391970144395'],
[0.003, 1e-06, 'ResNet50', '2999', '0.3897861700548348', '0.43463797388270276'],
[0.001, 1e-06, 'ResNet50', '7999', '0.5564259203757442', '0.5103112409227765'],
[0.001, 1e-06, 'ResNet50', '6999', '0.5693017955649171', '0.570978964985622'],
[0.02, 1e-06, 'ResNet50', '999', '0.06655186043348371', '0.3125324551320713'],
[0.003, 1e-06, 'ResNet50', '1999', '0.33709816059607645', '0.5260912844706687'],
[0.001, 1e-06, 'ResNet50', '5999', '0.58336418665245', '0.5370826692716673'],
[0.001, 1e-06, 'ResNet50', '4999', '0.5566952850946644', '0.5515797731276353'],
[0.02, 1e-06, 'ResNet50', '14999', '0.1979584563581514', '0.4417316338105638'],
[0.001, 1e-06, 'ResNet50', '3999', '0.3827309852858005', '0.49082391315645413'],
[0.02, 1e-06, 'ResNet50', '13999', '0.6516483144141489', '0.5559237554407918'],
[0.02, 1e-06, 'ResNet50', '12999', '0.6753593788122287', '0.5650113265647791'],
[0.001, 1e-06, 'ResNet50', '2999', '0.33676910675860483', '0.3800146804981217'],
[0.02, 1e-06, 'ResNet50', '11999', '0.666455947663542', '0.6143298107586385'],
[0.02, 1e-06, 'ResNet50', '10999', '0.5762152588581159', '0.5534896066671094'],
[0.001, 1e-06, 'ResNet50', '1999', '0.15590070031375242', '0.3277690827105523'],
[0.02, 1e-06, 'ResNet50', '9999', '0.5638700583506916', '0.6092263590993781'],
[0.02, 1e-06, 'ResNet50', '8999', '0.6264190785978653', '0.5813812617901846'],
[0.009, 1e-06, 'ResNet50', '999', '0.1049752945447795', '0.3062199593654359'],
[0.02, 1e-06, 'ResNet50', '7999', '0.6521524176676107', '0.5636379374187335'],
[0.02, 1e-06, 'ResNet50', '6999', '0.6719866094142493', '0.5739420541298822'],
[0.01, 1e-06, 'ResNet50', '999', '0.041386307970880165', '0.12690010263931523'],
[0.02, 1e-06, 'ResNet50', '5999', '0.5479677307938211', '0.49891204560856844'],
[0.009, 1e-06, 'ResNet50', '14999', '0.7337454121483316', '0.6252929721107522'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7110399420385398', '0.5693015029747921'],
[0.02, 1e-06, 'ResNet50', '4999', '0.2989183413910246', '0.3943016125437911'],
[0.01, 1e-06, 'ResNet50', '13999', '0.7664672629586036', '0.6164025367362586'],
[0.009, 1e-06, 'ResNet50', '13999', '0.7136462310484363', '0.5852829657874279'],
[0.02, 1e-06, 'ResNet50', '3999', '0.05354166883433992', '0.24352167297168772'],
[0.009, 1e-06, 'ResNet50', '12999', '0.7122730395880623', '0.6688309727789169'],
[0.02, 1e-06, 'ResNet50', '2999', '0.36474629371240735', '0.6372786592636774'],
[0.02, 1e-06, 'ResNet50', '1999', '0.2680224028177162', '0.4845741614741666'],
[0.009, 1e-06, 'ResNet50', '11999', '0.735566721060017', '0.6331855188559341'],
[0.009, 1e-06, 'ResNet50', '10999', '0.667332489524372', '0.6540823159870364'],
[0.009, 1e-06, 'ResNet50', '9999', '0.7793056880317447', '0.6212135075579641'],
[0.007, 1e-06, 'ResNet50', '999', '0.09375774872028672', '0.32394596733142916'],
[0.009, 1e-06, 'ResNet50', '8999', '0.6959455760153885', '0.5895796313306136'],
[0.007, 1e-06, 'ResNet50', '14999', '0.7593933366974058', '0.6095457434764372'],
[0.009, 1e-06, 'ResNet50', '5999', '0.6223862426304636', '0.5847614767365736'],
[0.005, 1e-06, 'ResNet50', '999', '0.10372347240268247', '0.2569558927704919'],
[0.007, 1e-06, 'ResNet50', '13999', '0.792296430171602', '0.641124759583507'],
[0.009, 1e-06, 'ResNet50', '4999', '0.7531290470442699', '0.6038369201595571'],
[0.007, 1e-06, 'ResNet50', '12999', '0.7468739353700735', '0.6261720687887566'],
[0.009, 1e-06, 'ResNet50', '3999', '0.5842423131502326', '0.6221671314125071'],
[0.007, 1e-06, 'ResNet50', '11999', '0.715088187498806', '0.6312486728657805'],
[0.005, 1e-06, 'ResNet50', '14999', '0.7604125365641835', '0.6184682289738557'],
[0.005, 1e-06, 'ResNet50', '13999', '0.6819969085118698', '0.5728028305097912'],
[0.007, 1e-06, 'ResNet50', '10999', '0.7063189439102608', '0.5896846677633049'],
[0.009, 1e-06, 'ResNet50', '2999', '0.37786336714810437', '0.5644879082732163'],
[0.007, 1e-06, 'ResNet50', '9999', '0.7816307847933343', '0.6205682174118567'],
[0.005, 1e-06, 'ResNet50', '12999', '0.7295610830964903', '0.5891516490194774'],
[0.009, 1e-06, 'ResNet50', '1999', '0.34371493445265094', '0.4869917151085203'],
[0.007, 1e-06, 'ResNet50', '8999', '0.7313129682051194', '0.5947456577546986'],
[0.005, 1e-06, 'ResNet50', '11999', '0.676853184245779', '0.6099729616804941'],
[0.007, 1e-06, 'ResNet50', '7999', '0.7085659391887724', '0.6874478421211506'],
[0.005, 1e-06, 'ResNet50', '10999', '0.7379349169036904', '0.5998313029762257'],
[0.007, 1e-06, 'ResNet50', '6999', '0.7219651491284675', '0.5954337392033988'],
[0.005, 1e-06, 'ResNet50', '9999', '0.7209132669252402', '0.6548154588969675'],
[0.005, 1e-06, 'ResNet50', '8999', '0.8002019292300344', '0.605358007444248'],
[0.007, 1e-06, 'ResNet50', '5999', '0.6600394579908597', '0.5420301848685225'],
[0.005, 1e-06, 'ResNet50', '7999', '0.7007121877599325', '0.6212808055975806'],
[0.007, 1e-06, 'ResNet50', '4999', '0.6299159635056037', '0.6166955124486699'],
[0.005, 1e-06, 'ResNet50', '6999', '0.6526343370510348', '0.5804170666679573'],
[0.007, 1e-06, 'ResNet50', '3999', '0.566736303594649', '0.6130577678335785'],
[0.005, 1e-06, 'ResNet50', '5999', '0.6213087959395837', '0.6045511376803167'],
[0.007, 1e-06, 'ResNet50', '2999', '0.5390011218154638', '0.5832533452345023'],
[0.005, 1e-06, 'ResNet50', '4999', '0.6821949423047639', '0.6153873369186826'],
[0.007, 1e-06, 'ResNet50', '1999', '0.38176968717623266', '0.47828429260463007'],
[0.005, 1e-06, 'ResNet50', '3999', '0.5723097279173223', '0.539714472810533'],
[0.005, 1e-06, 'ResNet50', '2999', '0.5896601723385608', '0.5772158119994595'],
[0.005, 1e-06, 'ResNet50', '1999', '0.3332195389233928', '0.5132086682083109'],
[0.001, 3e-06, 'ResNet50', '999', '0.05355302128592414', '0.17391155430373256'],
[0.001, 3e-06, 'ResNet50', '14999', '0.6086001950888805', '0.5809366771485699'],
[0.001, 3e-06, 'ResNet50', '13999', '0.6364167563136544', '0.585324968833906'],
[0.001, 3e-06, 'ResNet50', '12999', '0.57473980474372', '0.5655614564158016'],
[0.001, 3e-06, 'ResNet50', '11999', '0.6458317845421592', '0.5824291001449312'],
[0.003, 3e-06, 'ResNet50', '999', '0.314778482823525', '0.5294844679024232'],
[0.001, 3e-06, 'ResNet50', '10999', '0.6300606387800282', '0.5749849507838326'],
[0.001, 3e-06, 'ResNet50', '9999', '0.6101761842211323', '0.5264803039747697'],
[0.001, 3e-06, 'ResNet50', '8999', '0.5925106775310286', '0.5817098410546029'],
[0.003, 3e-06, 'ResNet50', '14999', '0.7076730045330171', '0.6066956152206933'],
[0.001, 3e-06, 'ResNet50', '7999', '0.6030997669907252', '0.5825273298936581'],
[0.001, 3e-06, 'ResNet50', '6999', '0.5892639128861742', '0.5484342830836917'],
[0.003, 3e-06, 'ResNet50', '13999', '0.7357487931861921', '0.63512134742771'],
[0.001, 3e-06, 'ResNet50', '5999', '0.5365894085970973', '0.5312579647969217'],
[0.001, 3e-06, 'ResNet50', '4999', '0.5616339066656364', '0.5983393949087766'],
[0.01, 3e-06, 'ResNet50', '14999', '0.7627738175364907', '0.6377925391652794'],
[0.001, 3e-06, 'ResNet50', '3999', '0.42659850893701295', '0.48946488648953307'],
[0.001, 3e-06, 'ResNet50', '2999', '0.3511445847613749', '0.5125211140129051'],
[0.001, 3e-06, 'ResNet50', '1999', '0.2951220927690925', '0.3375678963779448'],
[0.02, 3e-06, 'ResNet50', '999', '0.07105315375515135', '0.5718237703443692'],
[0.02, 3e-06, 'ResNet50', '14999', '0.6482334768089724', '0.6052264698570905'],
[0.02, 3e-06, 'ResNet50', '13999', '0.7176872861218022', '0.6415459341262079'],
[0.02, 3e-06, 'ResNet50', '12999', '0.6843642593096605', '0.6097473437777925'],
[0.02, 3e-06, 'ResNet50', '11999', '0.7535252679881891', '0.6130602875712579'],
[0.02, 3e-06, 'ResNet50', '10999', '0.6593449324132235', '0.6015833816235003'],
[0.02, 3e-06, 'ResNet50', '9999', '0.48921479507474663', '0.6010817192206253'],
[0.02, 3e-06, 'ResNet50', '8999', '0.4667526184457812', '0.5194477179867525'],
[0.02, 3e-06, 'ResNet50', '7999', '0.37363830086235156', '0.4276571359511575'],
[0.02, 3e-06, 'ResNet50', '6999', '0.4092275921758919', '0.48525979113399326'],
[0.02, 3e-06, 'ResNet50', '5999', '0.6073153118813217', '0.6050568616473497'],
[0.02, 3e-06, 'ResNet50', '4999', '0.113163590975115', '0.4136669197142046'],
[0.02, 3e-06, 'ResNet50', '3999', '0.5536934872401769', '0.6023541488579222'],
[0.02, 3e-06, 'ResNet50', '2999', '0.07739023389012056', '0.40177183691305596'],
[0.02, 3e-06, 'ResNet50', '1999', '0.2817037925865975', '0.46290716494872075'],
[0.009, 3e-06, 'ResNet50', '999', '0.1808936455900943', '0.500771026397979'],
[0.009, 3e-06, 'ResNet50', '14999', '0.7229460209203429', '0.6192631523653437'],
[0.009, 3e-06, 'ResNet50', '13999', '0.7827217728614672', '0.6148298967940019'],
[0.009, 3e-06, 'ResNet50', '12999', '0.7279014797533261', '0.6063076451788776'],
[0.009, 3e-06, 'ResNet50', '11999', '0.7249970567887118', '0.5779954815473767'],
[0.009, 3e-06, 'ResNet50', '10999', '0.6781245895034859', '0.6290996726446243'],
[0.009, 3e-06, 'ResNet50', '9999', '0.7667713706764759', '0.6141205785707056'],
[0.009, 3e-06, 'ResNet50', '8999', '0.7995574632759643', '0.6039282518561517'],
[0.009, 3e-06, 'ResNet50', '7999', '0.7674478907466467', '0.6723780371521813'],
[0.009, 3e-06, 'ResNet50', '6999', '0.7224118731798694', '0.6467140193334313'],
[0.009, 3e-06, 'ResNet50', '5999', '0.6703683993596552', '0.6339251878875374'],
[0.009, 3e-06, 'ResNet50', '4999', '0.5630315856452577', '0.6082682011946627'],
[0.007, 3e-06, 'ResNet50', '999', '0.1413717722231584', '0.525489198656526'],
[0.009, 3e-06, 'ResNet50', '3999', '0.5390731428099615', '0.6709246572871435'],
[0.007, 3e-06, 'ResNet50', '14999', '0.7648101777200227', '0.6478763563135409'],
[0.009, 3e-06, 'ResNet50', '2999', '0.4257068618699926', '0.4833872870777804'],
[0.007, 3e-06, 'ResNet50', '13999', '0.7777965511813024', '0.6072646161546705'],
[0.009, 3e-06, 'ResNet50', '1999', '0.3041248444767297', '0.438778559455853'],
[0.007, 3e-06, 'ResNet50', '12999', '0.7859753441316537', '0.6052402592766428'],
[0.007, 3e-06, 'ResNet50', '11999', '0.7600483397914175', '0.63328301941931'],
[0.007, 3e-06, 'ResNet50', '10999', '0.7189268395481596', '0.5951196439611061'],
[0.007, 3e-06, 'ResNet50', '9999', '0.733403762011249', '0.5973909532372066'],
[0.007, 3e-06, 'ResNet50', '8999', '0.6888142115202426', '0.5868485658895144'],
[0.007, 3e-06, 'ResNet50', '7999', '0.7114011900694572', '0.6211413154661459'],
[0.007, 3e-06, 'ResNet50', '6999', '0.7438420981537617', '0.6391264441549184'],
[0.005, 3e-06, 'ResNet50', '999', '0.16193892452976064', '0.38378468067760296'],
[0.007, 3e-06, 'ResNet50', '5999', '0.6952911276054434', '0.6120438858857199'],
[0.007, 3e-06, 'ResNet50', '4999', '0.6783214330895969', '0.6000820275529334'],
[0.005, 3e-06, 'ResNet50', '14999', '0.6747900454586333', '0.5626968436869668'],
[0.007, 3e-06, 'ResNet50', '3999', '0.686326061009517', '0.6123636332018381'],
[0.005, 3e-06, 'ResNet50', '13999', '0.6696432507112559', '0.5676564534041463'],
[0.005, 3e-06, 'ResNet50', '12999', '0.6989613463637362', '0.6277762396236769'],
[0.007, 3e-06, 'ResNet50', '2999', '0.39134979892658095', '0.4421092448967512'],
[0.005, 3e-06, 'ResNet50', '11999', '0.6591467883714784', '0.573491564520931'],
[0.007, 3e-06, 'ResNet50', '1999', '0.31431765568021885', '0.45662452404771425'],
[0.005, 3e-06, 'ResNet50', '10999', '0.6837840541915752', '0.6316984759979867'],
[0.005, 3e-06, 'ResNet50', '9999', '0.7126383244403465', '0.5956429209450185'],
[0.005, 3e-06, 'ResNet50', '8999', '0.6535234473138782', '0.5645964944578881'],
[0.005, 3e-06, 'ResNet50', '7999', '0.6618695545821057', '0.5660805793279188'],
[0.005, 3e-06, 'ResNet50', '6999', '0.6796942565298296', '0.6325286514478743'],
[0.005, 3e-06, 'ResNet50', '5999', '0.5471125265875535', '0.5687586473902299'],
[0.005, 3e-06, 'ResNet50', '4999', '0.5923094178602236', '0.6113283209279821'],
[0.005, 3e-06, 'ResNet50', '3999', '0.5848068498735651', '0.5516858415627169'],
[0.005, 3e-06, 'ResNet50', '2999', '0.4873428693182338', '0.5610242559618541'],
[0.005, 3e-06, 'ResNet50', '1999', '0.43661212469130267', '0.4669756811505394'],
[0.003, 5e-06, 'ResNet50', '999', '0.1625601439344483', '0.2732484584299432'],
[0.001, 5e-06, 'ResNet50', '999', '0.0511050009520278', '0.1673089004405996'],
[0.001, 5e-06, 'ResNet50', '14999', '0.6063075029212401', '0.5310521254378527'],
[0.001, 5e-06, 'ResNet50', '13999', '0.6281533197381446', '0.5761156914870643'],
[0.003, 5e-06, 'ResNet50', '14999', '0.7089847310460139', '0.5893657690265879'],
[0.001, 5e-06, 'ResNet50', '12999', '0.6299823777041782', '0.5856711690943285'],
[0.001, 5e-06, 'ResNet50', '11999', '0.6138887033777773', '0.572941265894788'],
[0.003, 5e-06, 'ResNet50', '13999', '0.7104763858194959', '0.597285889947467'],
[0.001, 5e-06, 'ResNet50', '10999', '0.6053205466200796', '0.539592557273631'],
[0.01, 5e-06, 'ResNet50', '999', '0.07767116347258259', '0.4063030381884463'],
[0.001, 5e-06, 'ResNet50', '9999', '0.6835753102703629', '0.5942739176274736'],
[0.003, 5e-06, 'ResNet50', '12999', '0.707017313567317', '0.6806712516380822'],
[0.001, 5e-06, 'ResNet50', '8999', '0.6611554285368417', '0.5701446749064338'],
[0.001, 5e-06, 'ResNet50', '7999', '0.5876161094455085', '0.599034779485274'],
[0.003, 5e-06, 'ResNet50', '11999', '0.7308222271010564', '0.5821397992743714'],
[0.001, 5e-06, 'ResNet50', '6999', '0.555294072333579', '0.6046758152808348'],
[0.001, 5e-06, 'ResNet50', '5999', '0.5714140826845178', '0.5978379048139666'],
[0.003, 5e-06, 'ResNet50', '10999', '0.7523263625667834', '0.6029059254083484'],
[0.001, 5e-06, 'ResNet50', '4999', '0.5028220692011326', '0.548493977568157'],
[0.003, 5e-06, 'ResNet50', '9999', '0.7460105599141889', '0.6124106751069731'],
[0.001, 5e-06, 'ResNet50', '3999', '0.4452918000889555', '0.4842948562812248'],
