[0.02, 1e-06, 'ResNet50', '1999', '0.1286683904200702', '0.46590172514883504'],
[0.005, 1e-06, 'ResNet50', '7999', '0.6620881278776287', '0.6068691020355681'],
[0.007, 1e-06, 'ResNet50', '5999', '0.6999704474436497', '0.599259117826179'],
[0.003, 1e-06, 'ResNet50', '6999', '0.6964920062984696', '0.6080879090260366'],
[0.005, 1e-06, 'ResNet50', '6999', '0.6776468527321937', '0.5862297670084764'],
[0.007, 1e-06, 'ResNet50', '4999', '0.6170505415078823', '0.6269131766117688'],
[0.003, 1e-06, 'ResNet50', '5999', '0.6406457657703399', '0.5807680387225289'],
[0.005, 1e-06, 'ResNet50', '5999', '0.5744155695038469', '0.6320256428512789'],
[0.003, 1e-06, 'ResNet50', '4999', '0.5965886230867689', '0.5493304809225185'],
[0.007, 1e-06, 'ResNet50', '3999', '0.6236004177508656', '0.5852343806370925'],
[0.005, 1e-06, 'ResNet50', '4999', '0.6247073875524416', '0.5427462640220271'],
[0.003, 1e-06, 'ResNet50', '3999', '0.5837762558299255', '0.5610952781121472'],
[0.005, 1e-06, 'ResNet50', '3999', '0.5727847038270008', '0.625416724648862'],
[0.007, 1e-06, 'ResNet50', '2999', '0.48245230402795436', '0.5131596527680681'],
[0.003, 1e-06, 'ResNet50', '2999', '0.5126138508939986', '0.6388006636575749'],
[0.005, 1e-06, 'ResNet50', '2999', '0.5026107466923411', '0.5576828954566618'],
[0.003, 1e-06, 'ResNet50', '1999', '0.3835741643739635', '0.5035937382426263'],
[0.007, 1e-06, 'ResNet50', '1999', '0.3631860785912214', '0.6220676318495073'],
[0.005, 1e-06, 'ResNet50', '1999', '0.47060190936168683', '0.5130890988686674'],
[0.009, 1e-06, 'ResNet50', '999', '0.13374444697021654', '0.47436477991321'],
[0.009, 1e-06, 'ResNet50', '14999', '0.7323293055547404', '0.6049602118613543'],
[0.009, 1e-06, 'ResNet50', '13999', '0.6870975204616754', '0.6301829379263209'],
[0.009, 1e-06, 'ResNet50', '12999', '0.7105351506681143', '0.6028017147992791'],
[0.009, 1e-06, 'ResNet50', '11999', '0.7465399516006517', '0.6216897435889048'],
[0.009, 1e-06, 'ResNet50', '10999', '0.6850677548953421', '0.6040972421466944'],
[0.009, 1e-06, 'ResNet50', '9999', '0.6854283918559947', '0.5932388207204593'],
[0.009, 1e-06, 'ResNet50', '8999', '0.687646718039713', '0.5956175813638639'],
[0.009, 1e-06, 'ResNet50', '7999', '0.6833399009688337', '0.5596554119766967'],
[0.009, 1e-06, 'ResNet50', '6999', '0.7337843966720966', '0.5932873336171813'],
[0.009, 1e-06, 'ResNet50', '5999', '0.6716998752005463', '0.6222680265782412'],
[0.009, 1e-06, 'ResNet50', '4999', '0.5796195660745501', '0.5520783722518556'],
[0.009, 1e-06, 'ResNet50', '3999', '0.7700289355401952', '0.5848237788853061'],
[0.009, 1e-06, 'ResNet50', '2999', '0.33663453529654924', '0.4459388589844352'],
[0.009, 1e-06, 'ResNet50', '1999', '0.20380362353400608', '0.32328991333571544'],
[0.01, 3e-06, 'ResNet50', '999', '0.026149001116660242', '0.32293868660040526'],
[0.01, 3e-06, 'ResNet50', '14999', '0.7149970181832284', '0.5819752853790068'],
[0.01, 3e-06, 'ResNet50', '13999', '0.7132172428079828', '0.61627281346988'],
[0.01, 3e-06, 'ResNet50', '12999', '0.6720549309371304', '0.5903844992955478'],
[0.01, 3e-06, 'ResNet50', '11999', '0.6618757692641524', '0.6180341500658706'],
[0.01, 3e-06, 'ResNet50', '10999', '0.6983967052845007', '0.5558798280885896'],
[0.01, 3e-06, 'ResNet50', '9999', '0.7093530124935656', '0.6207844828454263'],
[0.01, 3e-06, 'ResNet50', '8999', '0.7522329925282708', '0.6405664477434383'],
[0.01, 3e-06, 'ResNet50', '7999', '0.6739711822028764', '0.6218610693194836'],
[0.01, 3e-06, 'ResNet50', '6999', '0.6689791125319768', '0.6029098545641316'],
[0.01, 3e-06, 'ResNet50', '5999', '0.6275104933278399', '0.6784155488395905'],
[0.001, 3e-06, 'ResNet50', '999', '0.017455097809861916', '0.08313874337858625'],
[0.01, 3e-06, 'ResNet50', '4999', '0.6889612646517687', '0.6143789484398788'],
[0.01, 3e-06, 'ResNet50', '3999', '0.5068391907173937', '0.5451391408125061'],
[0.001, 3e-06, 'ResNet50', '14999', '0.63618100795096', '0.5686322574899171'],
[0.01, 3e-06, 'ResNet50', '2999', '0.5067643844829595', '0.5818859901060672'],
[0.001, 3e-06, 'ResNet50', '13999', '0.5923560751516284', '0.5567342457477974'],
[0.001, 3e-06, 'ResNet50', '12999', '0.6067353006855446', '0.5414426197405'],
[0.01, 3e-06, 'ResNet50', '1999', '0.20419711297882004', '0.323008712822977'],
[0.001, 3e-06, 'ResNet50', '11999', '0.5906679086306001', '0.5147858096383725'],
[0.001, 3e-06, 'ResNet50', '10999', '0.5974588831613344', '0.565869614350545'],
[0.001, 3e-06, 'ResNet50', '9999', '0.5723641126882232', '0.5241086628274826'],
[0.001, 3e-06, 'ResNet50', '8999', '0.6043598856832282', '0.5884772446193575'],
[0.001, 3e-06, 'ResNet50', '7999', '0.5089329371940668', '0.5282669960187769'],
[0.001, 3e-06, 'ResNet50', '6999', '0.5674614725163061', '0.5150485923684152'],
[0.001, 3e-06, 'ResNet50', '5999', '0.527363305136095', '0.5261640714695414'],
[0.001, 3e-06, 'ResNet50', '4999', '0.5003407135028537', '0.48849259865251804'],
[0.001, 3e-06, 'ResNet50', '3999', '0.4546826328200878', '0.47934391118182373'],
[0.001, 3e-06, 'ResNet50', '2999', '0.39329775763484365', '0.4302779118817046'],
[0.001, 3e-06, 'ResNet50', '1999', '0.21772249670014773', '0.3389818781632803'],
[0.02, 3e-06, 'ResNet50', '999', '0.06213284005847457', '0.4846838785923812'],
[0.02, 3e-06, 'ResNet50', '14999', '0.8137652953338577', '0.6442144417693184'],
