[0.009, 1e-06, 'ResNet50', '999', '0.10375613630962895', '0.35449314757611367'],
[0.001, 1e-06, 'ResNet50', '999', '0.03914520406973175', '0.12006349328895245'],
[0.009, 1e-06, 'ResNet50', '14999', '0.7467171687468552', '0.6114732436516415'],
[0.003, 1e-06, 'ResNet50', '999', '0.19450167881340713', '0.23504161540784835'],
[0.001, 1e-06, 'ResNet50', '14999', '0.5512913341518', '0.5080286632022397'],
[0.005, 1e-06, 'ResNet50', '999', '0.0671239038498461', '0.16356467422632207'],
[0.009, 1e-06, 'ResNet50', '13999', '0.710099117155941', '0.6406622294855479'],
[0.01, 1e-06, 'ResNet50', '999', '0.016740109937098714', '0.055782533951238646'],
[0.001, 1e-06, 'ResNet50', '13999', '0.5305107086117757', '0.5350116952392256'],
[0.009, 1e-06, 'ResNet50', '12999', '0.6989720627829159', '0.5916936411479596'],
[0.02, 1e-06, 'ResNet50', '999', '0.07393664541222049', '0.2210369071468934'],
[0.003, 1e-06, 'ResNet50', '14999', '0.7362243487031763', '0.6072426653130623'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6486147297995395', '0.6038485003938797'],
[0.005, 1e-06, 'ResNet50', '14999', '0.7104893806216972', '0.6448422212424179'],
[0.003, 1e-06, 'ResNet50', '13999', '0.717167473982031', '0.5509402687933498'],
[0.009, 1e-06, 'ResNet50', '11999', '0.7050398580995964', '0.5956632734818031'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7638815189394468', '0.5947708407482667'],
[0.005, 1e-06, 'ResNet50', '13999', '0.722799354968678', '0.5952923852006629'],
[0.001, 1e-06, 'ResNet50', '11999', '0.6259419235403723', '0.5512546600140571'],
[0.009, 1e-06, 'ResNet50', '10999', '0.6244570861945007', '0.5877813860696965'],
[0.003, 1e-06, 'ResNet50', '12999', '0.6517236034526543', '0.6021858892084528'],
[0.02, 1e-06, 'ResNet50', '14999', '0.48512780932775285', '0.553232569635173'],
[0.01, 1e-06, 'ResNet50', '13999', '0.7578394880036832', '0.6401197682119751'],
[0.009, 1e-06, 'ResNet50', '9999', '0.7561725956642479', '0.5802402133314327'],
[0.001, 1e-06, 'ResNet50', '10999', '0.6478059657415631', '0.537474843156598'],
[0.005, 1e-06, 'ResNet50', '12999', '0.685667117450804', '0.603981000616036'],
[0.003, 1e-06, 'ResNet50', '11999', '0.7100041274447887', '0.5502539581792727'],
[0.02, 1e-06, 'ResNet50', '13999', '0.6463419974516411', '0.6306365862911744'],
[0.01, 1e-06, 'ResNet50', '12999', '0.7520612611625939', '0.6342823202097615'],
[0.009, 1e-06, 'ResNet50', '8999', '0.7492151126613072', '0.5784975457221078'],
[0.003, 1e-06, 'ResNet50', '10999', '0.7370968979277122', '0.5859587975719541'],
[0.001, 1e-06, 'ResNet50', '9999', '0.6238839910745286', '0.5311775249405033'],
[0.005, 1e-06, 'ResNet50', '11999', '0.6824073965900064', '0.6149984819264185'],
