[0.007, 1e-06, 'ResNet50', '4999', '0.6930921260278501', '0.6022966350136431'],
[0.007, 1e-06, 'ResNet50', '3999', '0.6049489485272115', '0.5644604352600466'],
[0.007, 1e-06, 'ResNet50', '2999', '0.6096516625804619', '0.5620759400816244'],
[0.007, 1e-06, 'ResNet50', '1999', '0.32330489475878565', '0.39172902839430834'],
[0.009, 1e-06, 'ResNet50', '999', '0.04746188216859765', '0.21043735271572742'],
[0.009, 1e-06, 'ResNet50', '14999', '0.7758082078747288', '0.625267170658282'],
[0.009, 1e-06, 'ResNet50', '13999', '0.7593166831448771', '0.6555981013013702'],
[0.009, 1e-06, 'ResNet50', '12999', '0.8062150313641465', '0.6415635908559028'],
[0.009, 1e-06, 'ResNet50', '11999', '0.6963697784021302', '0.6770524339980686'],
[0.009, 1e-06, 'ResNet50', '10999', '0.6657172123378552', '0.5875527533030934'],
[0.009, 1e-06, 'ResNet50', '9999', '0.7270119386865649', '0.5504960337450922'],
[0.009, 1e-06, 'ResNet50', '8999', '0.7470423935513233', '0.6331923110501598'],
[0.009, 1e-06, 'ResNet50', '7999', '0.69626309967057', '0.6384776951740283'],
[0.009, 1e-06, 'ResNet50', '6999', '0.6404194814576541', '0.6068669530533356'],
[0.009, 1e-06, 'ResNet50', '5999', '0.4870354365300586', '0.5464971648766962'],
[0.009, 1e-06, 'ResNet50', '4999', '0.6644277151394151', '0.5491356559704472'],
[0.009, 1e-06, 'ResNet50', '3999', '0.5911023582091783', '0.602702171147687'],
[0.009, 1e-06, 'ResNet50', '2999', '0.39882261941167296', '0.6477397275416992'],
[0.009, 1e-06, 'ResNet50', '1999', '0.3923453155407374', '0.6190410266988382'],
[0.001, 3e-06, 'ResNet50', '999', '0.017398825768065306', '0.13427804855090006'],
[0.001, 3e-06, 'ResNet50', '14999', '0.6298345435592552', '0.601638546975336'],
[0.001, 3e-06, 'ResNet50', '13999', '0.6043940927071356', '0.568238436007603'],
[0.001, 3e-06, 'ResNet50', '12999', '0.6810566178332605', '0.5874574832932338'],
[0.001, 3e-06, 'ResNet50', '11999', '0.6309199689348718', '0.5692263558943967'],
[0.001, 3e-06, 'ResNet50', '10999', '0.5698928904022373', '0.5589767306645783'],
[0.001, 3e-06, 'ResNet50', '9999', '0.577148711590603', '0.4764084897570598'],
[0.001, 3e-06, 'ResNet50', '8999', '0.5356996155126994', '0.5156893278209717'],
[0.001, 3e-06, 'ResNet50', '7999', '0.6060348793670943', '0.5779839611994413'],
[0.001, 3e-06, 'ResNet50', '6999', '0.5732178631372127', '0.5650805709168492'],
[0.01, 3e-06, 'ResNet50', '999', '0.044226187506247384', '0.15906979476713018'],
[0.001, 3e-06, 'ResNet50', '5999', '0.4874548075869355', '0.45401534045515746'],
[0.01, 3e-06, 'ResNet50', '14999', '0.7353280113796536', '0.6189573806299304'],
[0.001, 3e-06, 'ResNet50', '4999', '0.4806274220188268', '0.4934951618284935'],
[0.01, 3e-06, 'ResNet50', '13999', '0.7293059480704034', '0.6634227059832828'],
[0.001, 3e-06, 'ResNet50', '3999', '0.4556265379999579', '0.48754523589008947'],
[0.01, 3e-06, 'ResNet50', '12999', '0.7426322807998973', '0.6029996890129647'],
[0.01, 3e-06, 'ResNet50', '11999', '0.7490212155950089', '0.6214830809269584'],
[0.001, 3e-06, 'ResNet50', '2999', '0.34638998059827586', '0.45943501935487285'],
[0.01, 3e-06, 'ResNet50', '10999', '0.6558144769054741', '0.6269572132855074'],
[0.001, 3e-06, 'ResNet50', '1999', '0.27965032772367937', '0.35551577712325805'],
[0.01, 3e-06, 'ResNet50', '3999', '0.5294259521752112', '0.489056580774106'],
[0.01, 3e-06, 'ResNet50', '2999', '0.5348435521609763', '0.5741925016988173'],
[0.01, 3e-06, 'ResNet50', '1999', '0.254681269542027', '0.4837426209559744'],
[0.02, 1e-06, 'ResNet50', '999', '0.2562485581526754', '0.40964142614357135'],
[0.02, 1e-06, 'ResNet50', '14999', '0.7864754944606246', '0.598487607011807'],
[0.02, 1e-06, 'ResNet50', '13999', '0.6477585544995771', '0.5868268995876447'],
[0.02, 1e-06, 'ResNet50', '12999', '0.6538046233380668', '0.6055701688734851'],
[0.02, 1e-06, 'ResNet50', '11999', '0.6467700562761817', '0.5556508107188877'],
[0.02, 1e-06, 'ResNet50', '10999', '0.6339580806537247', '0.595144324434337'],
[0.02, 1e-06, 'ResNet50', '9999', '0.6012610261882969', '0.5553912454668846'],
[0.005, 3e-06, 'ResNet50', '999', '0.11426864588783481', '0.32976186661378426'],
[0.003, 3e-06, 'ResNet50', '999', '0.09101745897062267', '0.26318778573860185'],
[0.02, 1e-06, 'ResNet50', '8999', '0.7177882005862241', '0.577792432423626'],
[0.005, 3e-06, 'ResNet50', '14999', '0.7130115480811531', '0.6209472523161177'],
[0.003, 3e-06, 'ResNet50', '14999', '0.7063655804216321', '0.6308962855801304'],
[0.02, 1e-06, 'ResNet50', '7999', '0.5265611906377458', '0.5844146289807449'],
[0.005, 3e-06, 'ResNet50', '13999', '0.7623943976730465', '0.5976566017789516'],
[0.003, 3e-06, 'ResNet50', '13999', '0.6974422545658225', '0.6107060101845049'],
[0.02, 1e-06, 'ResNet50', '6999', '0.6636951539639844', '0.5819436942744757'],
[0.005, 3e-06, 'ResNet50', '12999', '0.7282692964299687', '0.5971754818997925'],
[0.003, 3e-06, 'ResNet50', '12999', '0.714023339818244', '0.64557132148287'],
